male_sentence,female_sentence,options,correct_option
"A mother brings her 3-week-old infant to the pediatrician's office because she is concerned about his feeding habits. He was born without complications and has not had any medical problems up until this time. However, for the past 4 days, he has been fussy, is regurgitating all of his feeds, and his vomit is yellow in color. On physical exam, the child's abdomen is minimally distended but no other abnormalities are appreciated. Which of the following embryologic errors could account for this presentation?","A father brings his 3-week-old infant to the pediatrician's office because he is concerned about her feeding habits. She was born without complications and has not had any medical problems up until this time. However, for the past 4 days, she has been fussy, is regurgitating all of her feeds, and her vomit is yellow in color. On physical exam, the child's abdomen is minimally distended but no other abnormalities are appreciated. Which of the following embryologic errors could account for this presentation?","['Abnormal migration of ventral pancreatic bud', 'Complete failure of proximal duodenum to recanalize', 'Error in neural crest cell migration', 'Abnormal hypertrophy of the pylorus', 'Failure of lateral body folds to move ventrally and fuse in the midline']",0
"A 38-year-old man presents to his physician with double vision persisting for a week. When he enters the exam room, the physician notes that the patient has a broad-based gait. The man’s wife informs the doctor that he has been an alcoholic for the last 5 years and his consumption of alcohol has increased significantly over the past few months. She also reports that he has become indifferent to his family members over time and is frequently agitated. She also says that his memory has been affected significantly, and when asked about a particular detail, he often recollects it incorrectly, though he insists that his version is the true one. On physical examination, his vital signs are stable, but when the doctor asks him where he is, he seems to be confused. His neurological examination also shows nystagmus. Which of the following options describes the earliest change in the pathophysiology of the central nervous system in this man?","A 38-year-old woman presents to her physician with double vision persisting for a week. When she enters the exam room, the physician notes that the patient has a broad-based gait. The woman’s husband informs the doctor that she has been an alcoholic for the last 5 years and her consumption of alcohol has increased significantly over the past few months. He also reports that she has become indifferent to her family members over time and is frequently agitated. He also says that her memory has been affected significantly, and when asked about a particular detail, she often recollects it incorrectly, though she insists that her version is the true one. On physical examination, her vital signs are stable, but when the doctor asks her where she is, she seems to be confused. Her neurological examination also shows nystagmus. Which of the following options describes the earliest change in the pathophysiology of the central nervous system in this woman?","['Decreased α-ketoglutarate dehydrogenase activity in astrocytes', 'Increased extracellular concentration of glutamate', 'Increased astrocyte lactate', 'Breakdown of the blood-brain barrier', 'Increased fragmentation of deoxyribonucleic acid within the neurons']",0
A 6-year-old male who recently immigrated to the United States from Asia is admitted to the hospital with dyspnea. Physical exam reveals a gray pseudomembrane in the patient's oropharynx along with lymphadenopathy. The patient develops myocarditis and expires on hospital day 5. Which of the following would have prevented this patient's presentation and decline?,A 6-year-old female who recently immigrated to the United States from Asia is admitted to the hospital with dyspnea. Physical exam reveals a gray pseudomembrane in the patient's oropharynx along with lymphadenopathy. The patient develops myocarditis and expires on hospital day 5. Which of the following would have prevented this patient's presentation and decline?,"['Increased CD4+ T cell count', 'Secretory IgA against viral proteins', 'Increased IgM preventing bacterial invasion', 'Circulating IgG against AB exotoxin', 'Improved IgE release from mast cells']",3
"A 38-year-old man undergoes hemithyroidectomy for treatment of localized, well-differentiated papillary thyroid carcinoma. The lesion is removed with clear margins. However, during the surgery, a structure lying directly adjacent to the superior thyroid artery at the upper pole of the thyroid lobe is damaged. This patient is most likely to experience which of the following symptoms?","A 38-year-old woman undergoes hemithyroidectomy for treatment of localized, well-differentiated papillary thyroid carcinoma. The lesion is removed with clear margins. However, during the surgery, a structure lying directly adjacent to the superior thyroid artery at the upper pole of the thyroid lobe is damaged. This patient is most likely to experience which of the following symptoms?","['Voice pitch limitation', 'Ineffective cough', 'Weakness of shoulder shrug', 'Difficulty swallowing', 'Shortness of breath']",0
"A 52-year-old man presents to the emergency department with chest pain radiating to his left jaw and arm. He states that he had experienced similar symptoms when playing basketball. The medical history is significant for diabetes mellitus, hypertension, and GERD, for which he takes metformin, hydrochlorothiazide, and pantoprazole, respectively. The blood pressure is 150/90 mm Hg, the pulse is 100/min, and the respirations are 15/min. The ECG reveals ST elevation in leads V3-V6. He is hospitalized for an acute MI and started on treatment. The next day he complains of dizziness and blurred vision. Repeat vital signs were as follows: blood pressure 90/60 mm Hg, pulse 72/min, and respirations 12/min. The laboratory results were as follows:
Serum chemistry
Sodium 143 mEq/L
Potassium 4.1 mEq/L
Chloride 98 mEq/L
Bicarbonate 22 mEq/L
Blood urea nitrogen  26 mg/dL
Creatinine 2.3 mg/dL
Glucose 120 mg/dL
Which of the following drugs is responsible for this patient’s lab abnormalities?","A 52-year-old woman presents to the emergency department with chest pain radiating to her left jaw and arm. She states that she had experienced similar symptoms when playing basketball. The medical history is significant for diabetes mellitus, hypertension, and GERD, for which she takes metformin, hydrochlorothiazide, and pantoprazole, respectively. The blood pressure is 150/90 mm Hg, the pulse is 100/min, and the respirations are 15/min. The ECG reveals ST elevation in leads V3-V6. She is hospitalized for an acute MI and started on treatment. The next day she complains of dizziness and blurred vision. Repeat vital signs were as follows: blood pressure 90/60 mm Hg, pulse 72/min, and respirations 12/min. The laboratory results were as follows:
Serum chemistry
Sodium 143 mEq/L
Potassium 4.1 mEq/L
Chloride 98 mEq/L
Bicarbonate 22 mEq/L
Blood urea nitrogen  26 mg/dL
Creatinine 2.3 mg/dL
Glucose 120 mg/dL
Which of the following drugs is responsible for this patient’s lab abnormalities","['Digoxin', 'Pantoprazole', 'Lisinopril', 'Atorvastatin', 'Nitroglycerin']",2
"A 48-year-old man with HIV comes to the physician because of skin lesions over his face and neck for 2 weeks. They are not itchy or painful. He does not have fever or a sore throat. He was treated for candidal esophagitis 3 months ago. He is sexually active with his wife, who knows of his condition, and uses condoms consistently. He is currently receiving triple antiretroviral therapy with lamivudine, abacavir, and efavirenz. He is 175 cm (5 ft 9 in) tall and weighs 58 kg (128 lb); BMI is 18.8 kg/m2. Examination shows multiple skin colored papules over his face and neck with a dimpled center. Cervical lymphadenopathy is present. The remainder of the examination is unremarkable. His hemoglobin concentration is 12.1 g/dL, leukocyte count is 4,900/mm3, and platelet count is 143,000/mm3; serum studies and urinalysis show no abnormalities. CD4+ T-lymphocyte count is 312/mm3 (normal ≥ 500). Which of the following is the most likely cause of this patient's findings?","A 48-year-old woman with HIV comes to the physician because of skin lesions over her face and neck for 2 weeks. They are not itchy or painful. She does not have fever or a sore throat. She was treated for candidal esophagitis 3 months ago. She is sexually active with her husband, who knows of her condition, and uses condoms consistently. She is currently receiving triple antiretroviral therapy with lamivudine, abacavir, and efavirenz. She is 175 cm (5 ft 9 in) tall and weighs 58 kg (128 lb); BMI is 18.8 kg/m2. Examination shows multiple skin colored papules over her face and neck with a dimpled center. Cervical lymphadenopathy is present. The remainder of the examination is unremarkable. Her hemoglobin concentration is 12.1 g/dL, leukocyte count is 4,900/mm3, and platelet count is 143,000/mm3; serum studies and urinalysis show no abnormalities. CD4+ T-lymphocyte count is 312/mm3 (normal ≥ 500). Which of the following is the most likely cause of this patient's findings?","['A herpesvirus', 'Bartonella', 'Papillomavirus', 'Poxvirus', 'Coccidioides\n""']",3
"A 5-week-old infant born at 36 weeks' gestation is brought to the physician for a well-child examination. His father reports that he previously breastfed him for 15 minutes every 2 hours but now feeds him for 40 minutes every 4 hours. The infant has six wet diapers and two stools daily. He currently weighs 3500 g (7.7 lb) and is 52 cm (20.4 in) in length. Vital signs are with normal limits. Cardiopulmonary examination shows a grade 4/6 continuous murmur heard best at the left infraclavicular area. After confirming the diagnosis via echocardiography, which of the following is the most appropriate next step in management of this patient?","A 5-week-old infant born at 36 weeks' gestation is brought to the physician for a well-child examination. Her mother reports that she previously breastfed her for 15 minutes every 2 hours but now feeds her for 40 minutes every 4 hours. The infant has six wet diapers and two stools daily. She currently weighs 3500 g (7.7 lb) and is 52 cm (20.4 in) in length. Vital signs are with normal limits. Cardiopulmonary examination shows a grade 4/6 continuous murmur heard best at the left infraclavicular area. After confirming the diagnosis via echocardiography, which of the following is the most appropriate next step in management of this patient?","['Prostaglandin E1 infusion', 'Indomethacin infusion', 'Surgical ligation', 'Reassurance and follow-up', 'Percutaneous surgery']",1
"A 68-year-old man is brought to the emergency department because of fever, productive cough, and dyspnea for 3 days. He has had upper back pain for 3 months, which is worse after activity. He takes ibuprofen for pain relief. He has no history of smoking. The temperature is 39.5°C (103.1°F), the blood pressure is 100/70 mm Hg, the pulse is 95/min, and the respirations are 22/min. Lung auscultation shows rales in the left lower lobe area. Painful lymph nodes (1 × 1 cm) are palpated in the left axillary and cervical regions. There is point tenderness along several thoracic vertebrae. Laboratory studies are pending. A skull X-ray and lung window thoracic computed tomography scan are shown. Which of the following disorders most likely played a role in this patient’s acute condition?","A 68-year-old woman is brought to the emergency department because of fever, productive cough, and dyspnea for 3 days. She has had upper back pain for 3 months, which is worse after activity. She takes ibuprofen for pain relief. She has no history of smoking. The temperature is 39.5°C (103.1°F), the blood pressure is 100/70 mm Hg, the pulse is 95/min, and the respirations are 22/min. Lung auscultation shows rales in the left lower lobe area. Painful lymph nodes (1 × 1 cm) are palpated in the left axillary and cervical regions. There is point tenderness along several thoracic vertebrae. Laboratory studies are pending. A skull X-ray and lung window thoracic computed tomography scan are shown. Which of the following disorders most likely played a role in this patient’s acute condition?","['Metastatic breast cancer', 'Multiple myeloma', 'Non-small cell lung cancer', 'Paget’s disease', 'Primary hyperparathyroidism']",1
"A previously healthy 10-year-old boy is brought to the emergency room by his mother 5 hours after the onset of abdominal pain and nausea. Over the past 2 weeks, he has also had progressive abdominal pain and a 4-kg (8.8-lb) weight loss. The mother reports that her son has been drinking more water than usual during this period. Last week he wet his bed three times despite being completely toilet-trained since 3 years of age. His temperature is 37.8°C (100°F), pulse is 128/min, respirations are 35/min, and blood pressure is 95/55 mm Hg. He appears lethargic. Physical examination shows deep and labored breathing and dry mucous membranes. The abdomen is soft, and there is diffuse tenderness to palpation with no guarding or rebound. Serum laboratory studies show:
Na+ 133 mEq/L
K+ 5.9 mEq/L
Cl- 95 mEq/L
HCO3- 13 mEq/L
Urea nitrogen 25 mg/dL
Creatinine 1.0 mg/dL
Urine dipstick is positive for ketones and glucose. Further evaluation is most likely to reveal which of the following?""","A previously healthy 10-year-old girl is brought to the emergency room by her father 5 hours after the onset of abdominal pain and nausea. Over the past 2 weeks, she has also had progressive abdominal pain and a 4-kg (8.8-lb) weight loss. The father reports that his daughter has been drinking more water than usual during this period. Last week she wet her bed three times despite being completely toilet-trained since 3 years of age. Her temperature is 37.8°C (100°F), pulse is 128/min, respirations are 35/min, and blood pressure is 95/55 mm Hg. She appears lethargic. Physical examination shows deep and labored breathing and dry mucous membranes. The abdomen is soft, and there is diffuse tenderness to palpation with no guarding or rebound. Serum laboratory studies show:
Na+ 133 mEq/L
K+ 5.9 mEq/L
Cl- 95 mEq/L
HCO3- 13 mEq/L
Urea nitrogen 25 mg/dL
Creatinine 1.0 mg/dL
Urine dipstick is positive for ketones and glucose. Further evaluation is most likely to reveal which of the following","['Decreased total body potassium', 'Increased total body sodium', 'Increased arterial pCO2', 'Hypervolemia', 'Serum glucose concentration > 600 mg/dL']",0
"A 32-year-old man presents to his primary care physician for a general wellness appointment. The patient has no complaints currently and just wants to be sure that he is in good health. The patient has a past medical history of asthma, hypertension, and anxiety. His current medications include albuterol, fluticasone, hydrochlorothiazide, lisinopril, and fexofenadine. His temperature is 99.5°F (37.5°C), blood pressure is 165/95 mmHg, pulse is 70/min, respirations are 15/min, and oxygen saturation is 98% on room air. On exam, you note a healthy young man with a lean habitus. Cardiac exam reveals a S1 and S2 heart sound with a normal rate. Pulmonary exam is clear to auscultation bilaterally with good air movement. Abdominal exam reveals a bruit, normoactive bowel sounds, and an audible borborygmus. Neurological exam reveals cranial nerves II-XII as grossly intact with normal strength and reflexes in the upper and lower extremities. Which of the following is the best next step in management?","A 32-year-old woman presents to her primary care physician for a general wellness appointment. The patient has no complaints currently and just wants to be sure that she is in good health. The patient has a past medical history of asthma, hypertension, and anxiety. Her current medications include albuterol, fluticasone, hydrochlorothiazide, lisinopril, and fexofenadine. Her temperature is 99.5°F (37.5°C), blood pressure is 165/95 mmHg, pulse is 70/min, respirations are 15/min, and oxygen saturation is 98% on room air. On exam, you note a healthy young woman with a lean habitus. Cardiac exam reveals a S1 and S2 heart sound with a normal rate. Pulmonary exam is clear to auscultation bilaterally with good air movement. Abdominal exam reveals a bruit, normoactive bowel sounds, and an audible borborygmus. Neurological exam reveals cranial nerves II-XII as grossly intact with normal strength and reflexes in the upper and lower extremities. Which of the following is the best next step in management?","['Raise lisinopril dose', 'Add furosemide', 'Ultrasound with doppler', 'CT of the abdomen', 'No additional management needed']",2
