noun,frequency,score
admiral,-5.70659139565147,5.8
advice columnist,-7.687863294715135,2.7
aerobics instructor,-7.804766631140143,2.175
air stewardess,-8.086316521638764,1.675
air traffic controller,-7.052082382727644,5.475
allergist,-7.217613982881697,4.05
animal caretaker,-8.44404421732768,3.65
antique dealer,-7.303085243470186,3.475
architect,-5.100475589954178,5.325
artisan,-5.95157033351987,4.35
artist,-4.60486784296821,3.925
assistant,-4.769573050864056,3.375
astrologist,-7.952885808383701,4.35
astronaut,-6.066560755743308,5.75
astronomer,-5.910918861577579,4.8
athlete,-5.333535798394739,4.925
attorney,-4.60453098399674,4.375
auctioneer,-6.191350796821423,5.675
author,-4.1372230139856185,3.925
auto mechanic,-7.16607319661348,6.525
aviator,-6.362022297614434,5.5
babysitter,-6.1912558011708745,1.9
baker,-5.862692006811145,3.475
ballerina,-6.356693208688054,1.575
ballet dancer,-6.89062362655806,1.525
bank teller,-6.909475308024929,3.0
banker,-5.517681696807846,4.975
barber,-5.795515766469303,6.325
bartender,-5.670382214819894,5.075
baseball player,-6.480869294168615,6.4
basketball player,-6.501504108306279,5.05
baton twirler,-8.430255182203203,1.4
beautician,-6.965389040923332,1.7
bell hop,-8.351514560977767,5.65
bellboy,-7.02215997806001,6.55
biker,-6.19125952209294,5.125
bookkeeper,-6.308678114057905,3.025
boss,-4.838413388464766,5.3
boutique owner,-8.216213183858654,2.1
bowler,-6.20854947452007,4.9
boxer,-5.871537778636696,6.25
building contractor,-7.026760749385858,5.925
butcher,-5.592339457898216,6.025
butler,-5.690969851465292,6.675
caddy,-6.698094320018523,5.775
cake decorator,-8.25259258384674,2.425
camp counselor,-7.416916223171137,3.925
candy maker,-7.971847175944051,3.8
car salesman,-6.973615313964623,6.25
caregiver,-5.524256701625424,2.77
carpenter,-5.630775500566881,6.225
cashier,-5.849500260075284,3.55
caterer,-6.490940145165587,3.725
celebrity,-5.358005602281713,3.825
chair person,-8.351109635465509,4.4
chairman,-4.958227999183445,4.725
cheerleader,-6.2698003034053045,1.875
chef,-5.445305679453351,4.975
child advocate,-7.807970033422096,2.7
child care worker,-7.904271022168974,2.125
chiropractor,-6.559558014630214,4.95
choreographer,-6.276535830491764,3.175
cleaner,-5.460340807759088,2.8
clerk,-4.945973065557516,3.775
clinical psychologist,-6.572524242774042,3.775
clown,-5.731919008860489,5.25
coach,-4.874106392817775,5.675
